Record Type,Workflow,Category,Trigger,Action,Arguments,Condition
Admin Request,HR Admin: Requests,Record Load1,Before Record Load,Add Button,Label: Submit Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5107, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit Request ', actionCondition: '', actionScriptId: 'workflowaction16270'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = True,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5173, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = True', actionCondition: 'Case Type  = Other (specify)', actionScriptId: 'workflowaction16321'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = False,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5174, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = False', actionCondition: 'Case Type  != Other (specify)', actionScriptId: 'workflowaction16322'});"
Admin Request,HR Admin: Requests,Record Load1,Before Record Load,Add Button,Label: Submit Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5107, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit Request ', actionCondition: '', actionScriptId: 'workflowaction16270'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = True,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5173, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = True', actionCondition: 'Case Type  = Other (specify)', actionScriptId: 'workflowaction16321'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = False,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5174, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = False', actionCondition: 'Case Type  != Other (specify)', actionScriptId: 'workflowaction16322'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Set Field Value,Status =Completed,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7410, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status =Completed', actionCondition: '', actionScriptId: 'workflowaction17933'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Send Email,"To: Raised By, Subject: Admin Request Completed","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5875, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Raised By, Subject: Admin Request Completed', actionCondition: '', actionScriptId: 'workflowaction16817'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Set Field Value,Date Completed=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10870, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Completed=today', actionCondition: 'Date Completed Is Empty', actionScriptId: 'workflowaction20090'});"
Admin Request,HR Admin: Requests,Record Load1,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5869, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: 'User != Raised By And User != Raised By : Shared Account', actionScriptId: 'workflowaction16812'});"
Admin Request,HR Admin: Requests,Scheduled1,Scheduled,Send Email,"To: Raised By, Subject: Evaluate Admin Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5876, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Raised By, Subject: Evaluate Admin Request', actionCondition: '1. Was the communication satisfactory? Is Empty And Raised By : E-mail Is Not Empty', actionScriptId: 'workflowaction16818'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Set Field Value,Status =Completed,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7410, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status =Completed', actionCondition: '', actionScriptId: 'workflowaction17933'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Send Email,"To: Raised By, Subject: Admin Request Completed","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5875, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Raised By, Subject: Admin Request Completed', actionCondition: '', actionScriptId: 'workflowaction16817'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Set Field Value,Date Completed=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10870, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Completed=today', actionCondition: 'Date Completed Is Empty', actionScriptId: 'workflowaction20090'});"
Admin Request,HR Admin: Requests,Record Load1,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5869, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: 'User != Raised By And User != Raised By : Shared Account', actionScriptId: 'workflowaction16812'});"
Admin Request,HR Admin: Requests,Scheduled1,Scheduled,Send Email,"To: Raised By, Subject: Evaluate Admin Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5876, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Raised By, Subject: Evaluate Admin Request', actionCondition: '1. Was the communication satisfactory? Is Empty And Raised By : E-mail Is Not Empty', actionScriptId: 'workflowaction16818'});"
Business Card Request,Business Card Requests,Record Load1,Before Record Load,Add Button,Label: Send Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1401, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Send Request', actionCondition: '', actionScriptId: 'workflowaction13899'});"
Business Card Request,Business Card Requests,Record Load1,Before Record Load,Add Button,Label: Send Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1401, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Send Request', actionCondition: '', actionScriptId: 'workflowaction13899'});"
Business Card Request,Business Card Requests,State Event3,Entry,Set Field Value,Status=Pending Review,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1403, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Pending Review', actionCondition: '', actionScriptId: 'workflowaction13900'});"
Business Card Request,Business Card Requests,State Event3,Entry,Send Email,"To: Victoria Allotey, Subject: New Business Card Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1418, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Victoria Allotey, Subject: New Business Card Request', actionCondition: '', actionScriptId: 'workflowaction13910'});"
Business Card Request,Business Card Requests,State Event3,Entry,Set Field Value,Date Created=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10877, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Created=today', actionCondition: '', actionScriptId: 'workflowaction20097'});"
Business Card Request,Business Card Requests,Record Load4,Before Record Load,Add Button,Label: Recall,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1404, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Recall', actionCondition: '', actionScriptId: 'workflowaction13901'});"
Business Card Request,Business Card Requests,Record Load4,Before Record Load,Add Button,Label: Submit for Approval,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1406, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit for Approval', actionCondition: 'User = Victoria Allotey', actionScriptId: 'workflowaction13902'});"
Business Card Request,Business Card Requests,Record Load4,Before Record Load,Add Button,Label: Reject,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1409, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Reject', actionCondition: 'User = Victoria Allotey And Rejection Reason Is Not Empty', actionScriptId: 'workflowaction13903'});"
Business Card Request,Business Card Requests,Record Load4,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1414, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: 'User != Victoria Allotey', actionScriptId: 'workflowaction13906'});"
Business Card Request,Business Card Requests,State Event3,Entry,Send Email,"To: Name of Requestor, Subject: Business Card Request REJECTED","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5098, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Name of Requestor, Subject: Business Card Request REJECTED', actionCondition: '', actionScriptId: 'workflowaction16266'});"
Business Card Request,Business Card Requests,State Event3,Entry,Send Email,"To: Victoria Allotey, Subject: Business Card Request REJECTED","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 9256, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Victoria Allotey, Subject: Business Card Request REJECTED', actionCondition: 'Status = Pending HR Manager Approval', actionScriptId: 'workflowaction19228'});"
Business Card Request,Business Card Requests,State Event3,Entry,Set Field Value,Status=Rejected,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1411, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Rejected', actionCondition: '', actionScriptId: 'workflowaction13904'});"
Business Card Request,Business Card Requests,State Event4,Entry,Set Field Value,Status=Approved,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5095, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Approved', actionCondition: '', actionScriptId: 'workflowaction16263'});"
Business Card Request,Business Card Requests,State Event4,Entry,Send Email,"To: Victoria Allotey, Subject: Business Card Request Approved","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5097, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Victoria Allotey, Subject: Business Card Request Approved', actionCondition: '', actionScriptId: 'workflowaction16265'});"
Business Card Request,Business Card Requests,State Event4,Entry,Send Email,"To: Name of Requestor, Subject: Business Card Request Approved","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5102, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Name of Requestor, Subject: Business Card Request Approved', actionCondition: '', actionScriptId: 'workflowaction16267'});"
Business Card Request,Business Card Requests,State Event4,Entry,Set Field Value,Date Completed=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10878, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Completed=today', actionCondition: 'Date Completed Is Empty', actionScriptId: 'workflowaction20098'});"
Business Card Request,Business Card Requests,Record Load1,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1417, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: '', actionScriptId: 'workflowaction13909'});"
Feedback,Feedback,Record Save1,After Record Submit,Send Email,"To: HR Feedback : Employee, Subject: Update to Issue Raised","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7939, actionName: 'Send Email', linkElement: this, actionArguments: 'To: HR Feedback : Employee, Subject: Update to Issue Raised', actionCondition: 'Status != New', actionScriptId: 'workflowaction18315'});"
Hosting of Official Guests,Hosting Official Guests,State Event1,Entry,Set Field Value,Status=New,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4296, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=New', actionCondition: '', actionScriptId: 'workflowaction15735'});"
Hosting of Official Guests,Hosting Official Guests,Record Load2,Before Record Load,Set Field Display Type,Status = INLINE,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4301, actionName: 'Set Field Display Type', linkElement: this, actionArguments: 'Status = INLINE', actionCondition: '', actionScriptId: 'workflowaction15740'});"
Hosting of Official Guests,Hosting Official Guests,Record Load2,Before Record Load,Add Button,Label: Submit for Approval,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1558, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit for Approval', actionCondition: '', actionScriptId: 'workflowaction14025'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Set Field Value,Status=Approved,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4299, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Approved', actionCondition: '', actionScriptId: 'workflowaction15738'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Send Email,"To: Audrey Akushika Kligo, Subject: New Hosting Official Guest Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1560, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Audrey Akushika Kligo, Subject: New Hosting Official Guest Request', actionCondition: '', actionScriptId: 'workflowaction14026'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Send Email,"To: Requested By, Subject: {name}","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4291, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Requested By, Subject: {name}', actionCondition: '', actionScriptId: 'workflowaction15732'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Set Field Value,Workflow : Next Approver=null,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4287, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Workflow : Next Approver=null', actionCondition: '', actionScriptId: 'workflowaction15728'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Set Field Value,Date Completed=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10900, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Completed=today', actionCondition: 'Date Completed Is Empty', actionScriptId: 'workflowaction20118'});"
Hosting of Official Guests,Hosting Official Guests,Record Load2,Before Record Load,Add Button,Label: init,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 9340, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: init', actionCondition: 'User Role = Administrator,PPA Integration Role', actionScriptId: 'workflowaction19285'});"
Hosting of Official Guests,Hosting Official Guests,Record Load2,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4284, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: '', actionScriptId: 'workflowaction15725'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Set Field Value,Status=Approved,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4299, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Approved', actionCondition: '', actionScriptId: 'workflowaction15738'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Send Email,"To: Audrey Akushika Kligo, Subject: New Hosting Official Guest Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1560, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Audrey Akushika Kligo, Subject: New Hosting Official Guest Request', actionCondition: '', actionScriptId: 'workflowaction14026'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Send Email,"To: Requested By, Subject: {name}","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4291, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Requested By, Subject: {name}', actionCondition: '', actionScriptId: 'workflowaction15732'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Set Field Value,Workflow : Next Approver=null,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4287, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Workflow : Next Approver=null', actionCondition: '', actionScriptId: 'workflowaction15728'});"
Hosting of Official Guests,Hosting Official Guests,State Event5,Entry,Set Field Value,Date Completed=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10900, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Completed=today', actionCondition: 'Date Completed Is Empty', actionScriptId: 'workflowaction20118'});"
Hosting of Official Guests,Hosting Official Guests,Record Load2,Before Record Load,Add Button,Label: init,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 9340, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: init', actionCondition: 'User Role = Administrator,PPA Integration Role', actionScriptId: 'workflowaction19285'});"
Hosting of Official Guests,Hosting Official Guests,Record Load2,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4284, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: '', actionScriptId: 'workflowaction15725'});"
Hosting of Official Guests,Hosting Official Guests,State Event4,Entry,Set Field Value,Status=Pending Approval,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4312, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Pending Approval', actionCondition: '', actionScriptId: 'workflowaction15749'});"
Hosting of Official Guests,Hosting Official Guests,State Event4,Entry,Send Email,"To: Nunya Torgah, Subject: New Hosting Official Guest Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 1557, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Nunya Torgah, Subject: New Hosting Official Guest Request', actionCondition: '', actionScriptId: 'workflowaction14024'});"
Hosting of Official Guests,Hosting Official Guests,State Event4,Entry,Set Field Value,Workflow : Next Approver=Nunya Torgah,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4285, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Workflow : Next Approver=Nunya Torgah', actionCondition: '', actionScriptId: 'workflowaction15726'});"
Hosting of Official Guests,Hosting Official Guests,State Event4,Entry,Set Field Value,Date Created=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10899, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Created=today', actionCondition: '', actionScriptId: 'workflowaction20117'});"
Hosting of Official Guests,Hosting Official Guests,Record Load4,Before Record Load,Add Button,Label: Recall,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4314, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Recall', actionCondition: '', actionScriptId: 'workflowaction15750'});"
Hosting of Official Guests,Hosting Official Guests,Record Load4,Before Record Load,Add Button,Label: Approve,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4278, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Approve', actionCondition: 'User = Nunya Torgah,Robert A Maison Jr.,Wendy  Baaba Asante', actionScriptId: 'workflowaction15721'});"
Hosting of Official Guests,Hosting Official Guests,Record Load4,Before Record Load,Add Button,Label: Reject,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4289, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Reject', actionCondition: 'User = Nunya Torgah,Wendy  Baaba Asante', actionScriptId: 'workflowaction15730'});"
Hosting of Official Guests,Hosting Official Guests,Record Load4,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4288, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: 'User != Nunya Torgah', actionScriptId: 'workflowaction15729'});"
Hosting of Official Guests,Hosting Official Guests,Scheduled1,Scheduled,Send Email,"To: Nunya Torgah, Subject: New Hosting Official Guest Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4302, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Nunya Torgah, Subject: New Hosting Official Guest Request', actionCondition: '', actionScriptId: 'workflowaction15741'});"
Hosting of Official Guests,Hosting Official Guests,State Event3,Entry,Go To Record,Rejection Reason,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 11087, actionName: 'Go To Record', linkElement: this, actionArguments: 'Rejection Reason', actionCondition: '', actionScriptId: 'workflowaction20258'});"
Hosting of Official Guests,Hosting Official Guests,State Event3,Entry,Set Field Value,Status=Rejected,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4300, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Rejected', actionCondition: '', actionScriptId: 'workflowaction15739'});"
Hosting of Official Guests,Hosting Official Guests,State Event3,Entry,Send Email,"To: Requested By, Subject: {name}","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 4292, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Requested By, Subject: {name}', actionCondition: '', actionScriptId: 'workflowaction15733'});"
Invitation Letter Request,Invitation Letter Request,State Event1,Entry,Set Field Value,Status=New,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6169, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=New', actionCondition: 'Status != Rejected', actionScriptId: 'workflowaction17008'});"
Invitation Letter Request,Invitation Letter Request,Record Load1,Before Record Load,Add Button,Label: Submit Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6162, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit Request', actionCondition: '', actionScriptId: 'workflowaction17001'});"
Invitation Letter Request,Invitation Letter Request,Record Save1,After Record Submit,Send Email,"To: Nunya Torgah, Subject: New Invitation Letter Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6312, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Nunya Torgah, Subject: New Invitation Letter Request', actionCondition: '', actionScriptId: 'workflowaction17115'});"
Invitation Letter Request,Invitation Letter Request,State Event1,Entry,Set Field Value,Status=New,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6169, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=New', actionCondition: 'Status != Rejected', actionScriptId: 'workflowaction17008'});"
Invitation Letter Request,Invitation Letter Request,Record Load1,Before Record Load,Add Button,Label: Submit Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6162, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit Request', actionCondition: '', actionScriptId: 'workflowaction17001'});"
Invitation Letter Request,Invitation Letter Request,Record Save1,After Record Submit,Send Email,"To: Nunya Torgah, Subject: New Invitation Letter Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6312, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Nunya Torgah, Subject: New Invitation Letter Request', actionCondition: '', actionScriptId: 'workflowaction17115'});"
Invitation Letter Request,Invitation Letter Request,State Event3,Entry,Set Field Value,Status=Pending Line Manager Approval,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6170, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Pending Line Manager Approval', actionCondition: '', actionScriptId: 'workflowaction17009'});"
Invitation Letter Request,Invitation Letter Request,State Event3,Entry,Send Email,"To: Employee : HOD, Subject: New Invitation Letter Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7764, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Employee : HOD, Subject: New Invitation Letter Request', actionCondition: '', actionScriptId: 'workflowaction18174'});"
Invitation Letter Request,Invitation Letter Request,State Event3,Entry,Set Field Value,Date Created=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10901, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Created=today', actionCondition: '', actionScriptId: 'workflowaction20119'});"
Invitation Letter Request,Invitation Letter Request,Record Load3,Before Record Load,Add Button,Label: Approve,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6163, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Approve', actionCondition: 'User : is HOD = T Or User = Employee : HOD', actionScriptId: 'workflowaction17002'});"
Invitation Letter Request,Invitation Letter Request,Record Load3,Before Record Load,Add Button,Label: Reject,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6164, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Reject', actionCondition: 'User : is HOD = T', actionScriptId: 'workflowaction17003'});"
Invitation Letter Request,Invitation Letter Request,Record Load3,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6443, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: 'User : is HOD = F', actionScriptId: 'workflowaction17228'});"
Invitation Letter Request,Invitation Letter Request,Scheduled1,Scheduled,Send Email,"To: Employee : HOD, Subject: New Invitation Letter Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7770, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Employee : HOD, Subject: New Invitation Letter Request', actionCondition: '', actionScriptId: 'workflowaction18180'});"
Invitation Letter Request,Invitation Letter Request,State Event2,Entry,Set Field Value,Status=Pending CEO Approval,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6172, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status=Pending CEO Approval', actionCondition: '', actionScriptId: 'workflowaction17011'});"
Invitation Letter Request,Invitation Letter Request,State Event2,Entry,Send Email,"To: Kweku Asmah, Subject: New Invitation Letter Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7766, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Kweku Asmah, Subject: New Invitation Letter Request', actionCondition: '', actionScriptId: 'workflowaction18176'});"
Invitation Letter Request,Invitation Letter Request,Record Load3,Before Record Load,Add Button,Label: Approve,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6167, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Approve', actionCondition: 'User = Kweku Asmah', actionScriptId: 'workflowaction17006'});"
Invitation Letter Request,Invitation Letter Request,Record Load3,Before Record Load,Add Button,Label: Reject,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6168, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Reject', actionCondition: 'User = Kweku Asmah', actionScriptId: 'workflowaction17007'});"
Invitation Letter Request,Invitation Letter Request,Record Load3,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 6441, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: 'User != Kweku Asmah', actionScriptId: 'workflowaction17226'});"
Invitation Letter Request,Invitation Letter Request,Scheduled1,Scheduled,Send Email,"To: Kweku Asmah, Subject: New Invitation Letter Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7769, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Kweku Asmah, Subject: New Invitation Letter Request', actionCondition: '', actionScriptId: 'workflowaction18179'});"
